Vdr_Id	reference
2	0
4	0
5	0
6	1
7	0
8	0
9	0
10	0
12	0
13	0
15	0
16	0
17	0
18	0
20	0
21	0
22	0
23	0
25	0
26	1
27	0
28	0
29	0
30	0
31	1
32	0
33	0
34	1
35	1
36	0
37	0
38	0
39	0
40	1
41	1
42	0
43	1
45	1
46	1
47	1
48	0
49	1
51	1
52	0
53	0
54	0
55	0
56	0
57	0
60	0
61	1
62	0
63	0
64	1
65	0
66	1
67	1
68	0
69	1
71	1
72	1
74	0
75	0
76	1
77	1
78	1
79	1
80	0
81	0
82	1
83	0
84	0
85	0
86	0
87	1
88	1
89	1
91	1
92	1
93	0
94	1
95	1
96	1
97	1
98	0
99	0
100	0
101	0
103	0
104	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	1
116	0
117	0
118	0
119	0
120	1
121	0
122	1
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	1
132	0
133	0
134	0
136	0
137	0
138	0
139	0
140	1
142	0
143	0
144	0
145	1
146	1
147	1
148	1
149	0
150	1
151	1
152	0
154	1
155	1
156	0
157	0
159	0
160	1
161	0
162	0
163	0
164	0
165	0
166	1
167	0
169	0
170	0
171	0
172	1
173	0
174	0
175	0
176	0
177	1
179	0
180	1
181	1
182	0
183	0
184	1
186	0
187	0
188	0
189	1
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	1
198	0
199	0
200	0
202	0
203	0
204	0
205	1
206	1
207	1
208	0
209	0
210	1
212	0
213	1
215	0
216	0
217	0
218	0
219	0
220	0
223	0
224	0
225	0
226	0
227	0
229	0
231	0
233	0
234	0
235	0
236	0
237	0
238	1
239	0
240	0
241	0
242	1
244	0
245	1
246	1
247	0
248	0
250	0
251	0
252	0
253	0
254	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	1
266	1
267	0
268	1
269	1
272	1
273	0
274	0
275	0
276	0
278	1
279	0
280	0
281	0
282	0
283	0
284	0
285	0
288	0
289	0
291	0
292	0
293	0
294	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
306	0
307	0
308	0
309	0
310	0
312	0
316	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
331	0
332	0
333	0
334	0
335	0
340	0
341	0
342	0
344	0
347	0
350	0
351	0
353	0
355	1
356	1
357	0
358	0
359	0
362	0
367	0
368	0
369	0
370	0
371	0
372	0
374	0
375	0
377	0
378	0
382	0
384	0
386	0
387	0
388	0
389	0
390	0
391	0
393	0
394	0
395	0
397	0
401	0
402	0
403	0
404	0
405	0
407	0
409	0
410	0
411	0
412	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	1
424	0
425	0
426	0
427	0
431	0
432	0
433	0
434	0
437	0
438	0
439	0
441	0
442	0
443	0
444	0
445	0
451	0
452	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	1
474	0
475	0
476	0
477	0
481	0
482	0
483	0
484	0
485	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
503	0
504	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
524	0
525	0
526	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	1
538	0
539	0
540	0
542	0
544	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
554	0
555	0
558	0
559	0
562	0
563	0
566	0
567	0
568	0
569	0
570	0
572	0
580	0
581	0
582	0
583	0
584	0
585	0
587	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
602	0
605	0
611	0
612	0
613	0
614	0
616	0
620	0
621	0
622	0
627	0
628	1
629	0
630	0
631	0
633	0
636	0
637	0
638	0
639	0
640	0
645	0
647	0
651	0
652	0
653	0
655	0
656	0
658	0
659	0
660	0
662	0
664	0
666	0
667	0
669	0
671	0
673	0
675	0
677	0
678	0
679	0
680	0
681	0
683	0
684	0
685	0
686	0
687	0
689	0
690	0
691	0
692	0
694	0
697	0
698	0
699	0
700	0
701	0
702	0
707	0
709	0
710	0
714	0
716	0
726	0
