Vdr_Id	SystemA
371	22-HS-organic
372	14-LS-organic
374	22-LM-organic
375	22-LS-organic
377	14-LS-organic
378	14-HS-organic
382	22-HS-organic
384	14-LS-organic
386	14-LS-organic
387	22-HS-organic
388	22-HS-organic
389	22-LM-organic
390	22-LS-organic
391	22-LM-organic
393	14-LM-organic
394	14-LS-organic
395	14-LS-organic
397	14-LS-organic
401	22-LS-organic
402	22-LS-organic
403	22-LM-organic
404	22-LS-organic
405	22-LS-organic
407	14-LS-organic
409	14-HS-organic
410	14-LS-organic
411	14-LS-organic
412	14-LS-organic
414	14-LS-organic
415	14-LS-organic
416	14-LS-organic
417	14-LS-organic
418	14-LS-organic
419	14-LS-organic
420	14-LS-organic
421	22-LS-organic
422	22-HS-organic
423	22-HS-organic
424	22-HS-organic
425	22-HM-organic
426	22-HM-organic
427	14-LS-organic
431	14-LS-organic
432	22-HM-organic
433	22-HS-organic
434	22-HS-organic
437	14-LS-organic
438	14-LS-calcareous
439	14-HS-organic
441	14-LS-organic
442	14-LM-organic
443	14-HS-organic
444	14-LS-organic
445	14-LS-organic
451	14-LS-organic
452	14-LS-organic
454	22-HS-organic
455	22-HS-organic
456	22-HS-organic
457	22-LS-organic
458	14-LS-organic
459	14-LS-organic
460	14-LM-organic
461	14-LS-organic
462	14-LM-organic
465	14-LS-organic
466	14-LS-organic
467	14-LS-organic
468	14-LS-organic
469	14-LS-organic
470	14-LS-organic
471	14-LS-organic
472	14-LS-organic
473	14-LS-organic
474	14-LS-organic
475	14-LS-organic
476	14-LS-organic
477	14-LM-organic
481	22-HS-organic
482	14-LS-calcareous
483	14-LS-organic
484	14-LS-calcareous
485	14-LS-organic
487	22-LS-organic
488	22-LS-organic
489	14-LS-calcareous
490	14-LS-calcareous
491	14-LS-calcareous
492	14-LS-organic
493	14-LS-organic
494	14-LS-organic
495	14-LM-organic
496	14-LS-organic
497	14-LM-organic
498	14-LS-organic
499	14-LS-calcareous
500	14-LS-organic
501	14-LS-calcareous
503	14-LS-calcareous
504	22-HS-organic
506	22-LS-organic
507	22-LS-organic
508	22-HM-organic
509	22-LM-calcareous
510	22-LS-organic
511	22-LS-organic
512	22-LS-organic
513	22-HS-organic
514	22-LS-organic
515	22-LS-organic
516	22-HS-organic
517	22-HS-organic
518	22-LS-organic
519	22-LS-organic
520	22-HS-organic
521	22-LM-organic
522	22-LS-organic
524	22-LS-organic
525	22-LS-organic
526	22-HS-organic
529	22-LS-organic
530	14-LS-organic
531	22-HS-organic
532	22-HS-organic
533	22-HS-organic
534	22-HS-organic
535	22-HM-organic
536	14-LS-organic
537	14-HS-organic
538	14-LS-organic
539	14-LS-organic
540	14-LS-organic
542	14-LM-organic
544	14-LS-organic
546	14-LS-organic
547	14-LS-organic
548	14-HS-organic
549	14-LS-organic
550	14-LS-organic
551	14-LS-organic
552	14-LS-organic
554	14-LS-organic
555	14-LS-organic
558	22-LS-organic
559	14-LS-organic
562	14-LS-organic
563	14-LS-organic
566	14-LS-organic
567	14-LS-calcareous
568	14-LS-organic
569	14-LS-organic
570	14-LS-organic
572	14-LM-organic
580	14-LS-organic
581	14-LS-organic
582	14-LS-organic
583	14-LS-organic
584	14-LS-organic
585	14-LS-organic
587	14-LS-organic
589	14-LS-organic
590	22-HS-siliceous
591	22-LS-organic
592	22-LM-organic
593	22-LS-organic
594	22-LS-organic
595	22-LS-organic
596	22-LS-organic
597	22-HS-organic
598	22-HS-organic
599	22-LM-organic
602	14-LS-organic
605	14-LS-organic
611	14-LS-organic
612	14-LS-organic
613	14-LM-organic
614	14-LS-organic
616	14-LS-calcareous
620	14-LS-organic
621	14-LS-organic
622	14-LS-organic
627	14-LS-organic
628	14-LS-organic
629	14-LS-organic
630	14-LS-organic
631	14-LM-organic
633	14-LS-organic
636	14-LM-organic
637	14-LS-organic
638	14-LS-organic
639	14-LS-organic
640	14-LS-organic
645	14-LS-organic
647	14-LS-organic
651	14-LS-organic
652	14-LS-organic
653	14-LS-organic
655	14-LS-organic
656	14-LS-organic
658	14-LS-organic
659	14-LS-organic
660	14-LS-organic
662	14-LS-organic
664	14-LM-organic
666	14-LS-organic
667	14-LS-organic
669	14-LS-organic
671	14-LS-organic
673	14-LM-organic
675	14-LS-organic
677	14-LS-organic
678	14-LS-organic
679	14-LS-calcareous
680	14-LS-organic
681	14-LS-organic
683	14-LS-organic
684	14-LS-organic
685	14-LM-organic
686	14-LS-organic
687	14-LS-organic
689	14-LS-organic
690	14-LM-organic
691	14-LS-organic
692	14-LS-organic
694	14-LS-organic
697	14-LM-organic
698	14-LS-organic
699	14-LM-organic
700	14-LS-organic
701	14-LS-organic
702	14-LS-organic
707	14-LS-organic
709	14-LS-organic
710	14-LM-organic
714	14-LS-organic
716	14-LM-calcareous
726	14-LM-organic
