Vdr_Id	type
499	SS-SO
500	SI-SO
501	SS-SO
503	SS-SO
504	SS-NH
506	SS-NL
507	SS-NL
508	MS-NH
509	MS-NL
510	SS-NL
511	SS-NL
512	SS-NL
513	SS-NH
514	SS-NL
515	SS-NL
516	SS-NH
517	SS-NH
518	SS-NL
519	SS-NL
520	SS-NH
521	MS-NL
522	SS-NL
524	SS-NL
525	SS-NL
526	SS-NH
529	SS-NL
530	SS-SO
531	SS-NH
532	SS-NH
533	SS-NH
534	SS-NH
535	MS-NH
536	SS-SO
537	SS-SO
538	SS-SO
539	SS-SO
540	SS-SO
542	MS-SO
544	SS-SO
546	SS-SO
547	SS-SO
548	SS-SO
549	SS-SO
550	SS-SO
551	SS-SO
552	SS-SO
554	SS-SO
555	SS-SO
558	SS-NL
559	SS-SO
562	SS-SO
563	SS-SO
566	SS-SO
567	SS-SO
568	SS-SO
569	SS-SO
570	SS-SO
572	MS-SO
580	SS-SO
581	SS-SO
582	SS-SO
583	SS-SO
584	SS-SO
585	SS-SO
587	SS-SO
589	SS-SO
590	SS-NH
591	SS-NL
592	MS-NL
593	SS-NL
594	SS-NL
595	SS-NL
596	SS-NL
597	SS-NH
598	SS-NH
599	MS-NL
602	SS-SO
605	SS-SO
611	SS-SO
612	SS-SO
613	MS-SO
614	SS-SO
616	SS-SO
620	SS-SO
621	SS-SO
622	SS-SO
627	SS-SO
628	SS-SO
629	SI-SO
630	SS-SO
631	MS-SO
633	SS-SO
636	MS-SO
637	SS-SO
638	SS-SO
639	SS-SO
640	SS-SO
645	SS-SO
647	SS-SO
651	SS-SO
652	SS-SO
653	SS-SO
655	SS-SO
656	SS-SO
658	SS-SO
659	SS-SO
660	SS-SO
662	SI-SO
664	MS-SO
666	SS-SO
667	SS-SO
669	SS-SO
671	SS-SO
673	MS-SO
675	SS-SO
677	SS-SO
678	SS-SO
679	SS-SO
680	SS-SO
681	SS-SO
683	SS-SO
684	SS-SO
685	MS-SO
686	SS-SO
687	SS-SO
689	SS-SO
690	MS-SO
691	SS-SO
692	SS-SO
694	SS-SO
697	MS-SO
698	SS-SO
699	MS-SO
700	SS-SO
701	SS-SO
702	SS-SO
707	SS-SO
709	SS-SO
710	MS-SO
714	SS-SO
716	MS-SO
726	MI-SO
